"ID","COUNT","WHRTYPE"
1,55316,"URB"
2,917490,"AGS"
3,41625,"ASP"
4,632296,"BAR"
5,957828,"PGS"
6,1416363,"MCP"
7,518348,"WTM"
8,5169299,"SGB"
9,644768,"MCH"
10,400179,"MHW"
11,3176235,"JUN"
12,246898,"MHC"
13,1389077,"CRP"
14,468184,"PAS"
15,58707,"MRI"
16,2223417,"LSG"
17,705068,"BBR"
18,6215846,"SMC"
19,1231454,"WFR"
20,3809367,"EPN"
21,1997239,"PPN"
22,789534,"RFR"
23,373947,"LPN"
24,912805,"LAC"
25,4622,"RIV"
26,278260,"JPN"
27,1397,"KMC"
28,42313,"CPC"
29,3492,"ADS"
30,117986,"SCN"
31,1415,"FEW"
32,157,"DOR"
33,7751,"ASC"
34,44743,"BOP"
35,3613,"RIC"
36,35,"EOR"
37,63101,"BOW"
38,2543,"VRI"
39,12,"VOW"
40,18,"DFR"
41,202,"VIN"
